Symbol,Period,Interval,Rows,Start_Date,End_Date
BTC-USD,1d,1m,246,2025-10-23 00:00:00+00:00,2025-10-23 04:13:00+00:00
BTC-USD,1d,2m,128,2025-10-23 00:00:00+00:00,2025-10-23 04:14:00+00:00
BTC-USD,1d,5m,51,2025-10-23 00:00:00+00:00,2025-10-23 04:10:00+00:00
BTC-USD,1d,15m,17,2025-10-23 00:00:00+00:00,2025-10-23 04:00:00+00:00
BTC-USD,1d,30m,9,2025-10-23 00:00:00+00:00,2025-10-23 04:00:00+00:00
BTC-USD,1d,60m,5,2025-10-23 00:00:00+00:00,2025-10-23 04:00:00+00:00
BTC-USD,1d,90m,3,2025-10-23 00:00:00+00:00,2025-10-23 03:00:00+00:00
BTC-USD,1d,1h,5,2025-10-23 00:00:00+00:00,2025-10-23 04:00:00+00:00
BTC-USD,1d,1d,1,2025-10-23 00:00:00+00:00,2025-10-23 00:00:00+00:00
BTC-USD,1d,5d,1,2025-10-23 00:00:00+00:00,2025-10-23 00:00:00+00:00
BTC-USD,1d,1wk,1,2025-10-23 00:00:00+00:00,2025-10-23 00:00:00+00:00
BTC-USD,1d,1mo,1,2025-10-23 00:00:00+00:00,2025-10-23 00:00:00+00:00
BTC-USD,1d,3mo,1,2025-10-23 00:00:00+00:00,2025-10-23 00:00:00+00:00
BTC-USD,5d,1m,5503,2025-10-19 00:00:00+00:00,2025-10-23 04:13:00+00:00
BTC-USD,5d,2m,3004,2025-10-19 00:00:00+00:00,2025-10-23 04:14:00+00:00
BTC-USD,5d,5m,1203,2025-10-19 00:00:00+00:00,2025-10-23 04:10:00+00:00
BTC-USD,5d,15m,401,2025-10-19 00:00:00+00:00,2025-10-23 04:00:00+00:00
BTC-USD,5d,30m,201,2025-10-19 00:00:00+00:00,2025-10-23 04:00:00+00:00
BTC-USD,5d,60m,101,2025-10-19 00:00:00+00:00,2025-10-23 04:00:00+00:00
BTC-USD,5d,90m,67,2025-10-19 00:00:00+00:00,2025-10-23 03:00:00+00:00
BTC-USD,5d,1h,101,2025-10-19 00:00:00+00:00,2025-10-23 04:00:00+00:00
BTC-USD,5d,1d,4,2025-10-19 00:00:00+00:00,2025-10-23 00:00:00+00:00
BTC-USD,5d,5d,1,2025-10-19 00:00:00+00:00,2025-10-19 00:00:00+00:00
BTC-USD,5d,1wk,2,2025-10-13 00:00:00+00:00,2025-10-20 00:00:00+00:00
BTC-USD,5d,1mo,1,2025-10-23 00:00:00+00:00,2025-10-23 00:00:00+00:00
BTC-USD,5d,3mo,1,2025-10-23 00:00:00+00:00,2025-10-23 00:00:00+00:00
BTC-USD,1mo,2m,21481,2025-09-23 04:18:00+00:00,2025-10-23 04:14:00+00:00
BTC-USD,1mo,5m,8635,2025-09-23 04:15:00+00:00,2025-10-23 04:10:00+00:00
BTC-USD,1mo,15m,2879,2025-09-23 04:15:00+00:00,2025-10-23 04:00:00+00:00
BTC-USD,1mo,30m,1441,2025-09-23 04:00:00+00:00,2025-10-23 04:00:00+00:00
BTC-USD,1mo,60m,721,2025-09-23 04:00:00+00:00,2025-10-23 04:00:00+00:00
BTC-USD,1mo,90m,481,2025-09-23 03:00:00+00:00,2025-10-23 03:00:00+00:00
BTC-USD,1mo,1h,721,2025-09-23 04:00:00+00:00,2025-10-23 04:00:00+00:00
BTC-USD,1mo,1d,30,2025-09-23 00:00:00+00:00,2025-10-23 00:00:00+00:00
BTC-USD,1mo,5d,7,2025-09-23 00:00:00+00:00,2025-10-23 00:00:00+00:00
BTC-USD,1mo,1wk,5,2025-09-22 00:00:00+00:00,2025-10-20 00:00:00+00:00
BTC-USD,1mo,1mo,1,2025-10-01 00:00:00+00:00,2025-10-01 00:00:00+00:00
BTC-USD,1mo,3mo,1,2025-09-01 00:00:00+00:00,2025-09-01 00:00:00+00:00
BTC-USD,3mo,60m,2209,2025-07-23 04:00:00+00:00,2025-10-23 04:00:00+00:00
BTC-USD,3mo,1h,2209,2025-07-23 04:00:00+00:00,2025-10-23 04:00:00+00:00
BTC-USD,3mo,1d,92,2025-07-23 00:00:00+00:00,2025-10-23 00:00:00+00:00
BTC-USD,3mo,5d,19,2025-07-23 00:00:00+00:00,2025-10-21 00:00:00+00:00
BTC-USD,3mo,1wk,14,2025-07-21 00:00:00+00:00,2025-10-20 00:00:00+00:00
BTC-USD,3mo,1mo,3,2025-08-01 00:00:00+00:00,2025-10-01 00:00:00+00:00
BTC-USD,3mo,3mo,2,2025-07-01 00:00:00+00:00,2025-10-01 00:00:00+00:00
BTC-USD,6mo,60m,4393,2025-04-23 04:00:00+00:00,2025-10-23 04:00:00+00:00
BTC-USD,6mo,1h,4393,2025-04-23 04:00:00+00:00,2025-10-23 04:00:00+00:00
BTC-USD,6mo,1d,183,2025-04-23 00:00:00+00:00,2025-10-23 00:00:00+00:00
BTC-USD,6mo,5d,37,2025-04-23 00:00:00+00:00,2025-10-20 00:00:00+00:00
BTC-USD,6mo,1wk,27,2025-04-21 00:00:00+00:00,2025-10-20 00:00:00+00:00
BTC-USD,6mo,1mo,6,2025-05-01 00:00:00+00:00,2025-10-01 00:00:00+00:00
BTC-USD,6mo,3mo,3,2025-04-01 00:00:00+00:00,2025-10-01 00:00:00+00:00
BTC-USD,1y,60m,8760,2024-10-23 04:00:00+00:00,2025-10-23 04:00:00+00:00
BTC-USD,1y,1h,8760,2024-10-23 04:00:00+00:00,2025-10-23 04:00:00+00:00
BTC-USD,1y,1d,365,2024-10-23 00:00:00+00:00,2025-10-23 00:00:00+00:00
BTC-USD,1y,5d,74,2024-10-23 00:00:00+00:00,2025-10-23 00:00:00+00:00
BTC-USD,1y,1wk,53,2024-10-21 00:00:00+00:00,2025-10-20 00:00:00+00:00
BTC-USD,1y,1mo,12,2024-11-01 00:00:00+00:00,2025-10-01 00:00:00+00:00
BTC-USD,1y,3mo,5,2024-10-01 00:00:00+00:00,2025-10-01 00:00:00+00:00
BTC-USD,2y,60m,17543,2023-10-23 04:00:00+00:00,2025-10-23 04:00:00+00:00
BTC-USD,2y,1h,17543,2023-10-23 04:00:00+00:00,2025-10-23 04:00:00+00:00
BTC-USD,2y,1d,731,2023-10-23 00:00:00+00:00,2025-10-23 00:00:00+00:00
BTC-USD,2y,5d,147,2023-10-23 00:00:00+00:00,2025-10-23 00:00:00+00:00
BTC-USD,2y,1wk,105,2023-10-23 00:00:00+00:00,2025-10-20 00:00:00+00:00
BTC-USD,2y,1mo,24,2023-11-01 00:00:00+00:00,2025-10-01 00:00:00+00:00
BTC-USD,2y,3mo,9,2023-10-01 00:00:00+00:00,2025-10-01 00:00:00+00:00
BTC-USD,5y,1d,1826,2020-10-23 00:00:00+00:00,2025-10-23 00:00:00+00:00
BTC-USD,5y,5d,366,2020-10-23 00:00:00+00:00,2025-10-23 00:00:00+00:00
BTC-USD,5y,1wk,262,2020-10-19 00:00:00+00:00,2025-10-20 00:00:00+00:00
BTC-USD,5y,1mo,60,2020-11-01 00:00:00+00:00,2025-10-01 00:00:00+00:00
BTC-USD,5y,3mo,21,2020-10-01 00:00:00+00:00,2025-10-01 00:00:00+00:00
BTC-USD,10y,1d,3653,2015-10-23 00:00:00+00:00,2025-10-23 00:00:00+00:00
BTC-USD,10y,5d,731,2015-10-23 00:00:00+00:00,2025-10-20 00:00:00+00:00
BTC-USD,10y,1wk,523,2015-10-19 00:00:00+00:00,2025-10-20 00:00:00+00:00
BTC-USD,10y,1mo,120,2015-11-01 00:00:00+00:00,2025-10-01 00:00:00+00:00
BTC-USD,10y,3mo,41,2015-10-01 00:00:00+00:00,2025-10-01 00:00:00+00:00
BTC-USD,ytd,60m,7084,2025-01-01 00:00:00+00:00,2025-10-23 04:00:00+00:00
BTC-USD,ytd,1h,7084,2025-01-01 00:00:00+00:00,2025-10-23 04:00:00+00:00
